Date,coeff
2023-01-01,51
2023-01-02,51
2023-01-03,54
2023-01-04,59
2023-01-05,65
2023-01-06,69
2023-01-07,73
2023-01-08,74
2023-01-09,74
2023-01-10,73
2023-01-11,69
2023-01-12,65
2023-01-13,59
2023-01-14,53
2023-01-15,47
2023-01-16,45
2023-01-17,44
2023-01-18,49
2023-01-19,59
2023-01-20,72
2023-01-21,85
2023-01-22,96
2023-01-23,103
2023-01-24,105
2023-01-25,101
2023-01-26,91
2023-01-27,78
2023-01-28,64
2023-01-29,57
2023-01-30,45
2023-01-31,38
2023-02-01,40
2023-02-02,47
2023-02-03,56
2023-02-04,65
2023-02-05,72
2023-02-06,78
2023-02-07,81
2023-02-08,82
2023-02-09,81
2023-02-10,78
2023-02-11,72
2023-02-12,63
2023-02-13,54
2023-02-14,45
2023-02-15,41
2023-02-16,42
2023-02-17,52
2023-02-18,69
2023-02-19,86
2023-02-20,100
2023-02-21,109
2023-02-22,112
2023-02-23,107
2023-02-24,97
2023-02-25,82
2023-02-26,65
2023-02-27,47
2023-02-28,33
2023-03-01,29
2023-03-02,30
2023-03-03,40
2023-03-04,52
2023-03-05,64
2023-03-06,73
2023-03-07,81
2023-03-08,87
2023-03-09,90
2023-03-10,90
2023-03-11,86
2023-03-12,79
2023-03-13,69
2023-03-14,57
2023-03-15,44
2023-03-16,39
2023-03-17,38
2023-03-18,51
2023-03-19,70
2023-03-20,88
2023-03-21,102
2023-03-22,109
2023-03-23,110
2023-03-24,105
2023-03-25,94
2023-03-26,79
2023-03-27,63
2023-03-28,46
2023-03-29,38
2023-03-30,26
2023-03-31,26
2023-04-01,36
2023-04-02,49
2023-04-03,62
2023-04-04,73
2023-04-05,82
2023-04-06,88
2023-04-07,92
2023-04-08,92
2023-04-09,89
2023-04-10,81
2023-04-11,70
2023-04-12,57
2023-04-13,50
2023-04-14,40
2023-04-15,42
2023-04-16,56
2023-04-17,72
2023-04-18,87
2023-04-19,97
2023-04-20,101
2023-04-21,101
2023-04-22,95
2023-04-23,86
2023-04-24,74
2023-04-25,60
2023-04-26,46
2023-04-27,34
2023-04-28,29
2023-04-29,27
2023-04-30,34
2023-05-01,45
2023-05-02,57
2023-05-03,68
2023-05-04,78
2023-05-05,85
2023-05-06,90
2023-05-07,90
2023-05-08,88
2023-05-09,81
2023-05-10,71
2023-05-11,60
2023-05-12,54
2023-05-13,48
2023-05-14,50
2023-05-15,59
2023-05-16,70
2023-05-17,79
2023-05-18,85
2023-05-19,87
2023-05-20,87
2023-05-21,83
2023-05-22,77
2023-05-23,69
2023-05-24,60
2023-05-25,50
2023-05-26,41
2023-05-27,38
2023-05-28,34
2023-05-29,35
2023-05-30,42
2023-05-31,51
2023-06-01,61
2023-06-02,71
2023-06-03,79
2023-06-04,84
2023-06-05,87
2023-06-06,87
2023-06-07,84
2023-06-08,77
2023-06-09,70
2023-06-10,66
2023-06-11,60
2023-06-12,57
2023-06-13,58
2023-06-14,62
2023-06-15,66
2023-06-16,70
2023-06-17,72
2023-06-18,74
2023-06-19,74
2023-06-20,72
2023-06-21,69
2023-06-22,64
2023-06-23,58
2023-06-24,53
2023-06-25,47
2023-06-26,45
2023-06-27,42
2023-06-28,42
2023-06-29,46
2023-06-30,53
2023-07-01,62
2023-07-02,72
2023-07-03,81
2023-07-04,88
2023-07-05,92
2023-07-06,93
2023-07-07,89
2023-07-08,83
2023-07-09,78
2023-07-10,69
2023-07-11,59
2023-07-12,53
2023-07-13,50
2023-07-14,52
2023-07-15,57
2023-07-16,62
2023-07-17,67
2023-07-18,71
2023-07-19,73
2023-07-20,73
2023-07-21,72
2023-07-22,69
2023-07-23,65
2023-07-24,59
2023-07-25,52
2023-07-26,49
2023-07-27,44
2023-07-28,42
2023-07-29,45
2023-07-30,55
2023-07-31,68
2023-08-01,82
2023-08-02,93
2023-08-03,102
2023-08-04,104
2023-08-05,101
2023-08-06,92
2023-08-07,79
2023-08-08,72
2023-08-09,57
2023-08-10,44
2023-08-11,38
2023-08-12,41
2023-08-13,49
2023-08-14,59
2023-08-15,67
2023-08-16,74
2023-08-17,78
2023-08-18,81
2023-08-19,81
2023-08-20,79
2023-08-21,74
2023-08-22,68
2023-08-23,59
2023-08-24,49
2023-08-25,44
2023-08-26,37
2023-08-27,40
2023-08-28,52
2023-08-29,70
2023-08-30,87
2023-08-31,102
2023-09-01,110
2023-09-02,112
2023-09-03,107
2023-09-04,95
2023-09-05,79
2023-09-06,61
2023-09-07,52
2023-09-08,37
2023-09-09,30
2023-09-10,35
2023-09-11,47
2023-09-12,59
2023-09-13,69
2023-09-14,77
2023-09-15,83
2023-09-16,86
2023-09-17,87
2023-09-18,85
2023-09-19,80
2023-09-20,72
2023-09-21,62
2023-09-22,49
2023-09-23,43
2023-09-24,35
2023-09-25,39
2023-09-26,55
2023-09-27,75
2023-09-28,92
2023-09-29,105
2023-09-30,112
2023-10-01,111
2023-10-02,104
2023-10-03,91
2023-10-04,75
2023-10-05,57
2023-10-06,40
2023-10-07,33
2023-10-08,26
2023-10-09,32
2023-10-10,44
2023-10-11,57
2023-10-12,68
2023-10-13,77
2023-10-14,84
2023-10-15,88
2023-10-16,89
2023-10-17,87
2023-10-18,82
2023-10-19,73
2023-10-20,62
2023-10-21,50
2023-10-22,44
2023-10-23,38
2023-10-24,45
2023-10-25,60
2023-10-26,77
2023-10-27,91
2023-10-28,101
2023-10-29,104
2023-10-30,102
2023-10-31,95
2023-11-01,84
2023-11-02,71
2023-11-03,56
2023-11-04,42
2023-11-05,31
2023-11-06,29
2023-11-07,31
2023-11-08,40
2023-11-09,51
2023-11-10,62
2023-11-11,71
2023-11-12,79
2023-11-13,84
2023-11-14,87
2023-11-15,86
2023-11-16,82
2023-11-17,75
2023-11-18,66
2023-11-19,56
2023-11-20,49
2023-11-21,48
2023-11-22,52
2023-11-23,61
2023-11-24,72
2023-11-25,81
2023-11-26,88
2023-11-27,90
2023-11-28,89
2023-11-29,85
2023-11-30,78
2023-12-01,69
2023-12-02,60
2023-12-03,50
2023-12-04,41
2023-12-05,36
2023-12-06,35
2023-12-07,36
2023-12-08,43
2023-12-09,51
2023-12-10,61
2023-12-11,70
2023-12-12,77
2023-12-13,82
2023-12-14,85
2023-12-15,85
2023-12-16,83
2023-12-17,77
2023-12-18,71
2023-12-19,64
2023-12-20,61
2023-12-21,57
2023-12-22,57
2023-12-23,61
2023-12-24,66
2023-12-25,71
2023-12-26,75
2023-12-27,78
2023-12-28,78
2023-12-29,77
2023-12-30,73
2023-12-31,68
